AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),Input,NodeList,EDP
0.0,128,16,265352.0,1052.0,1052.0,265352.0,0.0,0.0,0.0,0.0,28.0,0,0.0,0.0,1n-1m-8th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493199.0,1,8,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1351.06,552.32,1903.38,90.07,36.82,126.89,126.89,15.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,30454.08
0.0,128,16,265352.0,3172.0,3172.0,265352.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1n-1m-8th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493201.0,1,8,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1359.69,556.1,1915.79,90.65,37.07,127.72,127.72,15.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,30652.64
0.0,128,16,265352.0,1060.0,1060.0,265352.0,0.0,0.0,0.0,0.0,3.0,0,0.0,0.0,1n-1m-8th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493203.0,1,8,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1358.12,555.39,1913.51,90.54,37.03,127.57,127.57,15.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,30616.16
0.0,128,16,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,6.0,0,0.0,0.0,1n-1m-8th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493205.0,1,8,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1356.89,554.65,1911.54,90.46,36.98,127.44,127.44,15.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,30584.64
952.0,1184,148,1733808.0,140888.0,140888.0,1733808.0,1935.36,4608.0,1935.36,4608.0,9.0,0,1.0,1.0,1n-1m-8th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493207.0,1,8,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15312.88,6158.05,21470.93,104.17,41.89,146.06,146.06,147.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3177697.64
1181.0,1208,151,1728384.0,143256.0,143256.0,1728384.0,2160.64,4700.16,2160.64,4700.16,12.0,0,0.0,0.0,1n-1m-8th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493209.0,1,8,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15578.17,6283.18,21861.35,104.55,42.17,146.72,146.72,149.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3301063.8499999996
951.0,1192,149,1733808.0,140884.0,140884.0,1733808.0,1935.36,4608.0,1935.36,4608.0,28.0,0,1.0,1.0,1n-1m-8th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493211.0,1,8,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15201.71,6098.6,21300.31,102.71,41.21,143.92,143.92,148.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3173746.1900000004
1190.0,1208,151,1511132.0,143820.0,143820.0,1511132.0,2160.64,4700.16,2160.64,4700.16,1.0,0,2.0,2.0,1n-1m-8th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493213.0,1,8,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15446.24,6218.35,21664.59,102.97,41.46,144.43,144.43,150.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3271353.09
951.0,1200,150,1505564.0,143700.0,143700.0,1505564.0,1945.6,4597.76,1945.6,4597.76,4.0,0,4.0,4.0,1n-1m-8th-1000bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493215.0,1,8,1000,198574,DENV_2-colombia-BVBRC_genome_sequence,15332.62,6148.63,21481.25,102.9,41.27,144.17,144.17,149.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,3222187.5
0.0,160,16,265352.0,1056.0,1056.0,265352.0,0.0,0.0,0.0,0.0,7.0,0,0.0,0.0,1n-1m-10th-100bs-198574s-DENV_2-colombia-BVBRC_genome_sequence,sequana_cpu,1,11493217.0,1,10,100,198574,DENV_2-colombia-BVBRC_genome_sequence,1473.65,550.68,2024.33,98.24,36.71,134.96,134.96,15.0,DENV_2-colombia-BVBRC_genome_sequence, sdumont6092,32389.28
