AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Classe,Benchmark,Zone X,Zone Y,Iterações,Grid X,Grid Y,Grid Z,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
14503.0,15048,836,12687540.0,11521800.0,11521800.0,12687540.0,1249.28,4208.64,1249.28,4208.64,1.0,0,433.0,433.0,1n-1m-18th-Dc-bt-mz,sequana_cpu_dev,1,11430804.0,1,18,D,bt-mz,32,32,500,1632,1216,34,121823.86,29815.26,151639.13,145.9,35.71,181.6,181.6,835.0, sdumont6167,126770312.68
14538.0,14778,821,12687540.0,11521700.0,11521700.0,12687540.0,1249.28,4208.64,1249.28,4208.64,1.0,0,99.0,99.0,1n-1m-18th-Dc-bt-mz,sequana_cpu_dev,1,11430810.0,1,18,D,bt-mz,32,32,500,1632,1216,34,120839.92,31186.57,152026.49,147.37,38.03,185.4,185.4,820.0, sdumont6166,124813748.28999999
14539.0,14724,818,12687540.0,11522096.0,11522096.0,12687540.0,1249.28,4208.64,1249.28,4208.64,1.0,0,117.0,117.0,1n-1m-18th-Dc-bt-mz,sequana_cpu_dev,1,11430819.0,1,18,D,bt-mz,32,32,500,1632,1216,34,119902.62,33632.75,153535.37,146.94,41.22,188.16,188.16,816.0, sdumont6165,125591932.66
14499.0,14760,820,12687540.0,11521620.0,11521620.0,12687540.0,1249.28,4208.64,1249.28,4208.64,1.0,0,431.0,431.0,1n-1m-18th-Dc-bt-mz,sequana_cpu_dev,1,11430829.0,1,18,D,bt-mz,32,32,500,1632,1216,34,116467.29,34397.93,150865.21,142.21,42.0,184.21,184.21,819.0, sdumont6168,123709472.19999999
14539.0,14670,815,12687540.0,11522432.0,11522432.0,12687540.0,1249.28,4208.64,1249.28,4208.64,1.0,0,29.0,29.0,1n-1m-18th-Dc-bt-mz,sequana_cpu_dev,1,11430834.0,1,18,D,bt-mz,32,32,500,1632,1216,34,116573.3,29928.68,146501.99,143.21,36.77,179.98,179.98,814.0, sdumont6166,119399121.85
14953.0,15400,770,12691648.0,11522512.0,11522512.0,12691648.0,1218.56,4208.64,1218.56,4208.64,2.0,0,121.0,121.0,1n-1m-20th-Dc-bt-mz,sequana_cpu_dev,1,11430838.0,1,20,D,bt-mz,32,32,500,1632,1216,34,112614.91,30082.31,142697.22,146.44,39.12,185.56,185.56,769.0, sdumont6165,109876859.4
14955.0,15380,769,12691652.0,11522452.0,11522452.0,12691652.0,1218.56,4208.64,1218.56,4208.64,1.0,0,35.0,35.0,1n-1m-20th-Dc-bt-mz,sequana_cpu_dev,1,11430847.0,1,20,D,bt-mz,32,32,500,1632,1216,34,112631.07,27615.07,140246.14,146.66,35.96,182.61,182.61,768.0, sdumont6166,107849281.66000001
14955.0,15380,769,12691652.0,11522816.0,11522816.0,12691652.0,1218.56,4208.64,1218.56,4208.64,1.0,0,148.0,148.0,1n-1m-20th-Dc-bt-mz,sequana_cpu_dev,1,11430853.0,1,20,D,bt-mz,32,32,500,1632,1216,34,112583.17,27966.76,140549.93,146.59,36.42,183.01,183.01,768.0, sdumont6166,108082896.17
14955.0,15460,773,12691652.0,11522524.0,11522524.0,12691652.0,1218.56,4208.64,1218.56,4208.64,1.0,0,34.0,34.0,1n-1m-20th-Dc-bt-mz,sequana_cpu_dev,1,11430864.0,1,20,D,bt-mz,32,32,500,1632,1216,34,112319.16,28390.2,140709.36,145.49,36.77,182.27,182.27,772.0, sdumont6166,108768335.27999999
14953.0,15600,780,12691652.0,11522440.0,11522440.0,12691652.0,1218.56,4208.64,1218.56,4208.64,1.0,0,113.0,113.0,1n-1m-20th-Dc-bt-mz,sequana_cpu_dev,1,11430876.0,1,20,D,bt-mz,32,32,500,1632,1216,34,112840.7,27040.21,139880.9,144.85,34.71,179.56,179.56,779.0, sdumont6169,109107102.0
