AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Classe,Benchmark,Zone X,Zone Y,Iterações,Grid X,Grid Y,Grid Z,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
29.0,33,33,1314800.0,181988.0,181988.0,1314800.0,1249.28,4208.64,1249.28,4208.64,1.0,0,0.0,0.0,1n-1m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426574.0,1,1,A,bt-mz,4,4,200,128,128,16,1581.55,1315.57,2897.12,49.42,41.11,90.54,90.54,32.0, sdumont6165,95604.95999999999
29.0,33,33,1314800.0,181884.0,181884.0,1314800.0,1249.28,4208.64,1249.28,4208.64,1.0,0,0.0,0.0,1n-1m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426576.0,1,1,A,bt-mz,4,4,200,128,128,16,1580.01,1317.95,2897.96,49.38,41.19,90.56,90.56,32.0, sdumont6165,95632.68000000001
29.0,33,33,1314800.0,181812.0,181812.0,1314800.0,1249.28,4208.64,1249.28,4208.64,1.0,0,0.0,0.0,1n-1m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426579.0,1,1,A,bt-mz,4,4,200,128,128,16,1574.5,1319.4,2893.9,49.2,41.23,90.43,90.43,32.0, sdumont6165,95498.7
29.0,33,33,1314800.0,181868.0,181868.0,1314800.0,1249.28,4208.64,1249.28,4208.64,1.0,0,0.0,0.0,1n-1m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426581.0,1,1,A,bt-mz,4,4,200,128,128,16,1568.19,1315.51,2883.7,49.01,41.11,90.12,90.12,32.0, sdumont6165,95162.09999999999
29.0,33,33,1314800.0,184032.0,184032.0,1314800.0,1249.28,4208.64,1249.28,4208.64,1.0,0,0.0,0.0,1n-1m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426583.0,1,1,A,bt-mz,4,4,200,128,128,16,1581.11,1312.92,2894.03,49.41,41.03,90.44,90.44,32.0, sdumont6165,95502.99
118.0,133,133,1454400.0,322336.0,322336.0,1454400.0,2539.52,4218.88,2539.52,4218.88,1.0,0,34.0,34.0,1n-1m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426585.0,1,1,B,bt-mz,8,8,200,304,208,17,6538.03,5440.9,11978.93,49.53,41.22,90.75,90.75,132.0, sdumont6165,1593197.69
118.0,133,133,1454404.0,321340.0,321340.0,1454404.0,2539.52,4218.88,2539.52,4218.88,1.0,0,0.0,0.0,1n-1m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426588.0,1,1,B,bt-mz,8,8,200,304,208,17,6547.5,5444.69,11992.19,49.6,41.25,90.85,90.85,132.0, sdumont6165,1594961.27
118.0,134,134,1454400.0,321552.0,321552.0,1454400.0,2539.52,4218.88,2539.52,4218.88,1.0,0,23.0,23.0,1n-1m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426591.0,1,1,B,bt-mz,8,8,200,304,208,17,6610.83,5507.86,12118.69,49.71,41.41,91.12,91.12,133.0, sdumont6165,1623904.46
118.0,133,133,1454400.0,321584.0,321584.0,1454400.0,2539.52,4218.88,2539.52,4218.88,1.0,0,0.0,0.0,1n-1m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426594.0,1,1,B,bt-mz,8,8,200,304,208,17,6569.2,5472.16,12041.35,49.77,41.46,91.22,91.22,132.0, sdumont6165,1601499.55
118.0,134,134,1454400.0,321744.0,321744.0,1454400.0,2539.52,4218.88,2539.52,4218.88,1.0,0,0.0,0.0,1n-1m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426596.0,1,1,B,bt-mz,8,8,200,304,208,17,6562.85,5457.96,12020.81,49.34,41.04,90.38,90.38,133.0, sdumont6165,1610788.54
531.0,541,541,2231252.0,877200.0,877200.0,2231252.0,8550.4,4270.08,8550.4,4270.08,1.0,0,359.0,359.0,1n-1m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426598.0,1,1,C,bt-mz,16,16,200,480,320,28,31615.9,21016.09,52631.99,58.55,38.92,97.47,97.47,540.0, sdumont6250,28473906.59
505.0,536,536,2231252.0,877656.0,877656.0,2231252.0,8069.12,4270.08,8069.12,4270.08,1.0,0,34.0,34.0,1n-1m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426602.0,1,1,C,bt-mz,16,16,200,480,320,28,26588.74,22162.89,48751.63,49.7,41.43,91.12,91.12,535.0, sdumont6165,26130873.68
505.0,535,535,2014004.0,875488.0,875488.0,2014004.0,8058.88,4270.08,8058.88,4270.08,1.0,0,0.0,0.0,1n-1m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426605.0,1,1,C,bt-mz,16,16,200,480,320,28,26602.75,22173.32,48776.07,49.82,41.52,91.34,91.34,534.0, sdumont6165,26095197.45
505.0,535,535,2014004.0,875540.0,875540.0,2014004.0,8058.88,4270.08,8058.88,4270.08,1.0,0,0.0,0.0,1n-1m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426610.0,1,1,C,bt-mz,16,16,200,480,320,28,26555.49,22120.19,48675.68,49.73,41.42,91.15,91.15,534.0, sdumont6165,26041488.8
505.0,535,535,2236684.0,876844.0,876844.0,2236684.0,8058.88,4270.08,8058.88,4270.08,1.0,0,0.0,0.0,1n-1m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426614.0,1,1,C,bt-mz,16,16,200,480,320,28,26532.54,22118.38,48650.92,49.59,41.34,90.94,90.94,535.0, sdumont6165,26028242.2
8.0,36,18,771778.0,133492.0,68322.0,1278208.0,573.44,2109.44,1136.64,4218.88,1.0,0,11.0,22.0,1n-2m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426619.0,2,1,A,bt-mz,4,4,200,128,128,16,929.53,907.93,1837.45,58.1,56.75,114.84,114.84,16.0, sdumont6167,33074.1
8.0,36,18,771778.0,133380.0,68250.0,1278208.0,573.44,2109.44,1146.88,4218.88,1.0,0,0.0,0.0,1n-2m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426621.0,2,1,A,bt-mz,4,4,200,128,128,16,929.35,902.56,1831.91,54.67,53.09,107.76,107.76,17.0, sdumont6167,32974.380000000005
8.0,36,18,771778.0,133544.0,68366.0,1278208.0,563.2,2109.44,1136.64,4218.88,1.0,0,0.0,0.0,1n-2m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426623.0,2,1,A,bt-mz,4,4,200,128,128,16,926.1,904.9,1831.01,54.48,53.23,107.71,107.71,17.0, sdumont6167,32958.18
8.0,36,18,771778.0,133184.0,68170.0,1278208.0,573.44,2109.44,1136.64,4218.88,1.0,0,0.0,0.0,1n-2m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426627.0,2,1,A,bt-mz,4,4,200,128,128,16,926.87,908.18,1835.05,54.52,53.42,107.94,107.94,17.0, sdumont6167,33030.9
8.0,36,18,771778.0,133380.0,68274.0,1278208.0,573.44,2109.44,1136.64,4218.88,1.0,0,0.0,0.0,1n-2m-1th-Ac-bt-mz,sequana_cpu_dev,1,11426629.0,2,1,A,bt-mz,4,4,200,128,128,16,931.24,901.74,1832.98,54.78,53.04,107.82,107.82,17.0, sdumont6167,32993.64
62.0,136,68,1055554.0,230576.0,228664.0,1383940.0,1361.92,4218.88,1873.92,4218.88,1.0,0,11.0,22.0,1n-2m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426632.0,2,1,B,bt-mz,8,8,200,304,208,17,3864.88,3767.7,7632.57,57.68,56.23,113.92,113.92,67.0, sdumont6167,519014.76
62.0,136,68,1055544.0,230408.0,228530.0,1383940.0,1361.92,4218.88,1873.92,4218.88,1.0,0,0.0,0.0,1n-2m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426634.0,2,1,B,bt-mz,8,8,200,304,208,17,3888.84,3773.87,7662.71,58.04,56.33,114.37,114.37,67.0, sdumont6167,521064.28
62.0,134,67,1055542.0,230480.0,228564.0,1379708.0,1351.68,4218.88,1863.68,4218.88,1.0,0,0.0,0.0,1n-2m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426636.0,2,1,B,bt-mz,8,8,200,304,208,17,3876.03,3761.49,7637.52,58.73,56.99,115.72,115.72,66.0, sdumont6167,511713.84
62.0,136,68,1055560.0,230460.0,228504.0,1383940.0,1361.92,4218.88,1873.92,4218.88,1.0,0,0.0,0.0,1n-2m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426639.0,2,1,B,bt-mz,8,8,200,304,208,17,3879.52,3770.65,7650.17,57.9,56.28,114.18,114.18,67.0, sdumont6167,520211.56
59.0,136,68,1055554.0,230268.0,228472.0,1379732.0,1361.92,4218.88,1873.92,4218.88,1.0,0,0.0,0.0,1n-2m-1th-Bc-bt-mz,sequana_cpu_dev,1,11426640.0,2,1,B,bt-mz,8,8,200,304,208,17,3891.17,3773.07,7664.24,58.08,56.31,114.39,114.39,67.0, sdumont6167,521168.32
252.0,540,270,1336606.0,509236.0,507348.0,1667140.0,2764.8,4229.12,4710.4,4249.6,1.0,0,11.0,21.0,1n-2m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426643.0,2,1,C,bt-mz,16,16,200,480,320,28,15835.35,15383.69,31219.04,58.87,57.19,116.06,116.06,269.0, sdumont6167,8429140.8
252.0,540,270,1447944.0,509516.0,507550.0,1889820.0,2775.04,4229.12,4710.4,4249.6,1.0,0,0.0,0.0,1n-2m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426646.0,2,1,C,bt-mz,16,16,200,480,320,28,15896.26,15416.93,31313.19,59.09,57.31,116.41,116.41,269.0, sdumont6167,8454561.299999999
252.0,540,270,1333832.0,508180.0,506846.0,1657364.0,2775.04,4229.12,4720.64,4249.6,1.0,0,0.0,0.0,1n-2m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426648.0,2,1,C,bt-mz,16,16,200,480,320,28,15878.3,15427.14,31305.44,59.03,57.35,116.38,116.38,269.0, sdumont6167,8452468.799999999
264.0,574,287,1447946.0,509512.0,507602.0,1885592.0,2805.76,4229.12,4782.08,4249.6,1.0,0,178.0,391.0,1n-2m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426651.0,2,1,C,bt-mz,16,16,200,480,320,28,14328.79,12983.97,27312.76,52.49,47.56,100.05,100.05,273.0, sdumont6260,7838762.119999999
253.0,542,271,1336820.0,509036.0,507222.0,1663340.0,2570.24,4229.12,4239.36,4239.36,1.0,0,0.0,0.0,1n-2m-1th-Cc-bt-mz,sequana_cpu_dev,1,11426654.0,2,1,C,bt-mz,16,16,200,480,320,28,14239.4,12960.93,27200.34,52.74,48.0,100.74,100.74,270.0, sdumont6260,7371292.14
0.0,42,21,265348.0,1040.0,1038.0,265348.0,0.0,0.0,0.0,0.0,4.0,0,0.0,0.0,2n-1m-1th-Ac-bt-mz,sequana_cpu_dev,2,11426656.0,1,1,A,bt-mz,4,4,200,128,128,16,2065.53,1669.34,3734.87,103.28,83.47,186.74,93.37,20.0, sdumont6167,78432.27
0.0,36,18,265348.0,1040.0,1040.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2n-1m-1th-Ac-bt-mz,sequana_cpu_dev,2,11426658.0,1,1,A,bt-mz,4,4,200,128,128,16,1736.91,1371.94,3108.85,102.17,80.7,182.87,91.44,17.0, sdumont6167,55959.299999999996
0.0,36,18,265348.0,1040.0,1040.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2n-1m-1th-Ac-bt-mz,sequana_cpu_dev,2,11426660.0,1,1,A,bt-mz,4,4,200,128,128,16,1737.51,1365.95,3103.46,102.21,80.35,182.56,91.28,17.0, sdumont6168,55862.28
0.0,36,18,265348.0,1040.0,1040.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2n-1m-1th-Ac-bt-mz,sequana_cpu_dev,2,11426663.0,1,1,A,bt-mz,4,4,200,128,128,16,1736.44,1370.55,3107.0,102.14,80.62,182.76,91.38,17.0, sdumont6168,55926.0
0.0,36,18,265348.0,1044.0,1044.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,2n-1m-1th-Ac-bt-mz,sequana_cpu_dev,2,11426666.0,1,1,A,bt-mz,4,4,200,128,128,16,1735.2,1369.95,3105.16,102.07,80.59,182.66,91.33,17.0, sdumont6168,55892.88
59.0,136,68,1262928.0,240440.0,235014.0,1375452.0,1689.6,4208.64,1689.6,4218.88,1.0,0,17.0,34.0,2n-1m-1th-Bc-bt-mz,sequana_cpu_dev,2,11426668.0,1,1,B,bt-mz,8,8,200,304,208,17,7406.44,5795.04,13201.48,110.54,86.49,197.04,98.52,67.0, sdumont6168,897700.64
59.0,136,68,1262940.0,239872.0,235030.0,1363180.0,1689.6,4208.64,1689.6,4218.88,1.0,0,0.0,0.0,2n-1m-1th-Bc-bt-mz,sequana_cpu_dev,2,11426670.0,1,1,B,bt-mz,8,8,200,304,208,17,7399.22,5791.49,13190.7,110.44,86.44,196.88,98.44,67.0, sdumont6168,896967.6000000001
59.0,136,68,1262928.0,239948.0,235006.0,1363180.0,1689.6,4218.88,1689.6,4218.88,1.0,0,0.0,0.0,2n-1m-1th-Bc-bt-mz,sequana_cpu_dev,2,11426672.0,1,1,B,bt-mz,8,8,200,304,208,17,7353.85,5750.93,13104.79,109.76,85.83,195.59,97.8,67.0, sdumont6167,891125.7200000001
59.0,136,68,1262928.0,239704.0,234970.0,1363160.0,1689.6,4218.88,1689.6,4218.88,1.0,0,0.0,0.0,2n-1m-1th-Bc-bt-mz,sequana_cpu_dev,2,11426673.0,1,1,B,bt-mz,8,8,200,304,208,17,7410.88,5793.11,13203.98,110.61,86.46,197.07,98.54,67.0, sdumont6167,897870.64
