AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
175.0,672,56,1379156.0,161452.0,153362.0,1385336.0,1853.44,4229.12,1853.44,4229.12,0.0,0,2.0,2.0,2n-1m-6th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531943.0,1,6,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9244.66,4183.82,13428.48,168.08,76.07,244.15,122.08,55.0, sdumont6166,751994.88
234.0,784,49,1514076.0,157784.0,151638.0,1520236.0,1853.44,4239.36,1853.44,4239.36,1.0,0,8.0,17.0,2n-1m-8th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531946.0,1,8,100,484520,DENV_1-brazil-BVBRC_genome_sequence,8955.25,3628.57,12583.82,190.54,77.2,267.74,133.87,47.0, sdumont6166,616607.1799999999
234.0,816,51,1514154.0,157860.0,151734.0,1520228.0,1853.44,4239.36,1853.44,4239.36,2.0,0,1.0,2.0,2n-1m-8th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531951.0,1,8,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9297.63,3786.05,13083.69,185.95,75.72,261.67,130.84,50.0, sdumont6166,667268.1900000001
235.0,784,49,1514086.0,157740.0,153504.0,1520220.0,1853.44,4239.36,1853.44,4239.36,3.0,0,3.0,4.0,2n-1m-8th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531959.0,1,8,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9003.11,3628.4,12631.51,187.56,75.59,263.16,131.58,48.0, sdumont6165,618943.99
234.0,800,50,1514062.0,156028.0,150618.0,1520212.0,1853.44,4239.36,1853.44,4239.36,1.0,0,2.0,2.0,2n-1m-8th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531964.0,1,8,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9345.43,3796.26,13141.69,190.72,77.47,268.2,134.1,49.0, sdumont6166,657084.5
234.0,800,50,1514064.0,159416.0,153712.0,1520208.0,1853.44,4239.36,1853.44,4239.36,0.0,0,1.0,2.0,2n-1m-8th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531967.0,1,8,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9381.26,3805.23,13186.49,191.45,77.66,269.11,134.56,49.0, sdumont6166,659324.5
294.0,940,47,1649090.0,155968.0,150816.0,1655304.0,1853.44,4239.36,1853.44,4239.36,1.0,0,2.0,3.0,2n-1m-10th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531971.0,1,10,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9355.44,3498.38,12853.82,203.38,76.05,279.43,139.72,46.0, sdumont6166,604129.54
294.0,920,46,1649082.0,155724.0,150758.0,1655152.0,1853.44,4239.36,1853.44,4239.36,0.0,0,2.0,3.0,2n-1m-10th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531976.0,1,10,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9335.11,3478.06,12813.17,207.45,77.29,284.74,142.37,45.0, sdumont6166,589405.82
290.0,1180,59,1649008.0,155732.0,150680.0,1655148.0,1853.44,4239.36,1853.44,4239.36,1.0,0,3.0,6.0,2n-1m-10th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531980.0,1,10,100,484520,DENV_1-brazil-BVBRC_genome_sequence,10174.85,3825.18,14000.02,199.51,75.0,274.51,137.26,51.0, sdumont6165,826001.18
292.0,960,48,1649090.0,156108.0,150850.0,1655168.0,1853.44,4239.36,1853.44,4239.36,1.0,0,2.0,3.0,2n-1m-10th-100bs-484520s-DENV_1-brazil-BVBRC_genome_sequence,sequana_cpu_dev,2,11531984.0,1,10,100,484520,DENV_1-brazil-BVBRC_genome_sequence,9495.14,3557.79,13052.94,202.02,75.7,277.72,138.86,47.0, sdumont6165,626541.12
