AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Classe,Benchmark,Zone X,Zone Y,Iterações,Grid X,Grid Y,Grid Z,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
294.0,520,52,1922116.0,752968.0,752968.0,1922116.0,5560.32,4208.64,5560.32,4208.64,1.0,0,10.0,10.0,1n-1m-10th-Cc-lu-mz,sequana_cpu_dev,1,11418199.0,1,10,C,lu-mz,4,4,250,480,320,28,5938.69,2013.63,7952.32,118.77,40.27,159.05,159.05,50.0, sdumont6043,413520.64
0.0,60,5,265348.0,1032.0,1032.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-12th-Ac-lu-mz,sequana_cpu_dev,1,11418202.0,1,12,A,lu-mz,4,4,250,128,128,16,363.41,146.46,509.87,121.14,48.82,169.96,169.96,3.0, sdumont6165,2549.35
0.0,180,15,265348.0,1028.0,1028.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-12th-Bc-lu-mz,sequana_cpu_dev,1,11418204.0,1,12,B,lu-mz,4,4,250,304,208,17,1452.57,560.06,2012.64,103.76,40.0,143.76,143.76,14.0, sdumont6165,30189.600000000002
353.0,576,48,1909256.0,752336.0,752336.0,1909256.0,1239.04,4208.64,1239.04,4208.64,1.0,0,15.0,15.0,1n-1m-12th-Cc-lu-mz,sequana_cpu_dev,1,11418206.0,1,12,C,lu-mz,4,4,250,480,320,28,5308.92,1887.51,7196.42,115.41,41.03,156.44,156.44,46.0, sdumont6165,345428.16000000003
0.0,70,5,265348.0,3076.0,3076.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-14th-Ac-lu-mz,sequana_cpu_dev,1,11418208.0,1,14,A,lu-mz,4,4,250,128,128,16,374.79,143.86,518.65,124.93,47.95,172.88,172.88,3.0, sdumont6165,2593.25
0.0,196,14,265348.0,1032.0,1032.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-14th-Bc-lu-mz,sequana_cpu_dev,1,11418210.0,1,14,B,lu-mz,4,4,250,304,208,17,1371.75,501.7,1873.44,114.31,41.81,156.12,156.12,12.0, sdumont6165,26228.16
412.0,602,43,1913364.0,752188.0,752188.0,1913364.0,1239.04,4208.64,1239.04,4208.64,1.0,0,16.0,16.0,1n-1m-14th-Cc-lu-mz,sequana_cpu_dev,1,11418212.0,1,14,C,lu-mz,4,4,250,480,320,28,4951.31,1691.54,6642.85,120.76,41.26,162.02,162.02,41.0, sdumont6165,285642.55
0.0,64,4,265348.0,1036.0,1036.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-16th-Ac-lu-mz,sequana_cpu_dev,1,11418214.0,1,16,A,lu-mz,4,4,250,128,128,16,251.1,98.58,349.68,83.7,32.86,116.56,116.56,3.0, sdumont6165,1398.72
0.0,224,14,265348.0,1036.0,1036.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-16th-Bc-lu-mz,sequana_cpu_dev,1,11418217.0,1,16,B,lu-mz,4,4,250,304,208,17,1291.22,457.73,1748.95,107.6,38.14,145.75,145.75,12.0, sdumont6165,24485.3
433.0,672,42,1917476.0,752132.0,752132.0,1917476.0,1239.04,4208.64,1239.04,4208.64,1.0,0,415.0,415.0,1n-1m-16th-Cc-lu-mz,sequana_cpu_dev,1,11418219.0,1,16,C,lu-mz,4,4,250,480,320,28,5435.88,1814.35,7250.23,135.9,45.36,181.26,181.26,40.0, sdumont6215,304509.66
0.0,90,5,265348.0,1032.0,1032.0,265348.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1n-1m-18th-Ac-lu-mz,sequana_cpu_dev,1,11418222.0,1,18,A,lu-mz,4,4,250,128,128,16,283.02,110.35,393.37,94.34,36.78,131.12,131.12,3.0, sdumont6215,1966.85
0.0,216,12,265348.0,1028.0,1028.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-18th-Bc-lu-mz,sequana_cpu_dev,1,11418225.0,1,18,B,lu-mz,4,4,250,304,208,17,1313.34,448.31,1761.65,131.33,44.83,176.17,176.17,10.0, sdumont6215,21139.800000000003
532.0,720,40,1921588.0,752236.0,752236.0,1921588.0,1239.04,4208.64,1239.04,4208.64,3.0,0,29.0,29.0,1n-1m-18th-Cc-lu-mz,sequana_cpu_dev,1,11418231.0,1,18,C,lu-mz,4,4,250,480,320,28,5454.64,1736.55,7191.19,139.86,44.53,184.39,184.39,39.0, sdumont6215,287647.6
0.0,100,5,265348.0,1036.0,1036.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-20th-Ac-lu-mz,sequana_cpu_dev,1,11418233.0,1,20,A,lu-mz,4,4,250,128,128,16,289.23,111.52,400.75,96.41,37.17,133.58,133.58,3.0, sdumont6215,2003.75
0.0,240,12,265348.0,1028.0,1028.0,265348.0,0.0,0.0,0.0,0.0,1.0,0,0.0,0.0,1n-1m-20th-Bc-lu-mz,sequana_cpu_dev,1,11418236.0,1,20,B,lu-mz,4,4,250,304,208,17,1317.47,446.39,1763.87,131.75,44.64,176.39,176.39,10.0, sdumont6215,21166.44
586.0,740,37,2153932.0,754132.0,754132.0,2153932.0,1228.8,4208.64,1228.8,4208.64,1.0,0,38.0,38.0,1n-1m-20th-Cc-lu-mz,sequana_cpu_dev,1,11418240.0,1,20,C,lu-mz,4,4,250,480,320,28,4975.69,1579.5,6555.19,142.16,45.13,187.29,187.29,35.0, sdumont6215,242542.03
