AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Bootstrap,Tamanho,Nome do Arquivo,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
0.0,56,7,359224.0,4568.0,3846.0,453096.0,604.16,2129.92,1218.56,4270.08,1.0,0,0.0,0.0,1n-2m-4th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529173.0,2,4,100,187026,DENV_1-colombia-BVBRC_genome_sequence,321.26,325.54,646.79,80.31,81.38,161.7,161.7,4.0, sdumont6169,4527.53
147.0,376,47,1033960.0,138620.0,136972.0,1255980.0,1208.32,4413.44,1280.0,4444.16,1.0,0,0.0,0.0,1n-2m-4th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529177.0,2,4,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3799.74,3780.32,7580.06,84.44,84.01,168.45,168.45,45.0, sdumont6167,356262.82
146.0,368,46,1033968.0,138704.0,137056.0,1255968.0,1208.32,4403.2,1280.0,4444.16,1.0,0,1.0,2.0,1n-2m-4th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529178.0,2,4,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3094.94,3340.97,6435.91,68.78,74.24,143.02,143.02,45.0, sdumont6165,296051.86
145.0,368,46,1033952.0,138500.0,137936.0,1251768.0,1208.32,4413.44,1280.0,4444.16,2.0,0,1.0,1.0,1n-2m-4th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529180.0,2,4,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,2987.93,3226.18,6214.12,67.91,73.32,141.23,141.23,44.0, sdumont6165,285849.52
117.0,360,45,1033962.0,138780.0,138188.0,1251788.0,1382.4,4546.56,1720.32,4710.4,1.0,0,0.0,3.0,1n-2m-4th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529185.0,2,4,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,2986.02,3239.85,6225.87,69.44,75.35,144.79,144.79,43.0, sdumont6165,280164.15
116.0,384,48,1033976.0,140552.0,137964.0,1251788.0,1433.6,4546.56,1822.72,4730.88,1.0,0,0.0,1.0,1n-2m-4th-1000bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529190.0,2,4,1000,187026,DENV_1-colombia-BVBRC_genome_sequence,3819.01,3791.23,7610.24,83.02,82.42,165.44,165.44,46.0, sdumont6167,365291.52
0.0,72,6,575480.0,8360.0,5772.0,885608.0,604.16,2129.92,1208.32,4270.08,1.0,0,0.0,0.0,1n-2m-6th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529196.0,2,6,100,187026,DENV_1-colombia-BVBRC_genome_sequence,399.56,396.07,795.63,99.89,99.02,198.91,198.91,4.0, sdumont6167,4773.78
12.0,72,6,935902.0,135804.0,69518.0,1606452.0,593.92,2129.92,1198.08,4270.08,1.0,0,0.0,0.0,1n-2m-6th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529199.0,2,6,100,187026,DENV_1-colombia-BVBRC_genome_sequence,404.62,398.78,803.41,101.16,99.7,200.85,200.85,4.0, sdumont6167,4820.46
0.0,72,6,466920.0,7372.0,5274.0,668488.0,604.16,2129.92,1208.32,4270.08,1.0,0,0.0,0.0,1n-2m-6th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529201.0,2,6,100,187026,DENV_1-colombia-BVBRC_genome_sequence,401.5,399.3,800.79,100.37,99.82,200.2,200.2,4.0, sdumont6167,4804.74
0.0,72,6,575480.0,8124.0,5626.0,885608.0,604.16,2129.92,1218.56,4270.08,1.0,0,0.0,0.0,1n-2m-6th-100bs-187026s-DENV_1-colombia-BVBRC_genome_sequence,sequana_cpu_dev,1,11529202.0,2,6,100,187026,DENV_1-colombia-BVBRC_genome_sequence,400.3,392.37,792.66,80.06,78.47,158.53,158.53,5.0, sdumont6167,4755.96
