AveCPU,CPUTimeRAW,ElapsedRaw,AveVMSize,MaxRSS,AveRSS,MaxVMSize,AveDiskRead,AveDiskWrite,MaxDiskRead,MaxDiskWrite,Planned,ConsumedEnergyRaw,AvePages,MaxPages,JobName,Partition,NNodes,JobID,Processo p/ no,Thread p/ proc.,Classe,Benchmark,Zone X,Zone Y,Iterações,Grid X,Grid Y,Grid Z,Consumo de Energia P0 (J),Consumo de Energia P1 (J),Consumo de Energia Total (J),Power P0 (W),Power P1 (W),Power Total (W),Potência por nó (W),Tempo (s),NodeList,EDP
9641.0,9774,543,13119608.0,11952324.0,11952324.0,13119608.0,1126.4,4208.64,1126.4,4208.64,0.0,0,424.0,424.0,1n-1m-18th-Dc-sp-mz,sequana_cpu_dev,1,11463266.0,1,18,D,sp-mz,32,32,500,1632,1216,34,74517.42,21261.29,95778.71,137.49,39.23,176.71,176.71,542.0, sdumont6169,52007839.53
9681.0,9810,545,13119608.0,11952292.0,11952292.0,13119608.0,1126.4,4208.64,1126.4,4208.64,0.0,0,15.0,15.0,1n-1m-18th-Dc-sp-mz,sequana_cpu_dev,1,11463280.0,1,18,D,sp-mz,32,32,500,1632,1216,34,75021.05,21328.97,96350.02,138.93,39.5,178.43,178.43,540.0, sdumont6169,52510760.9
9638.0,9846,547,13119608.0,11951804.0,11951804.0,13119608.0,1126.4,4208.64,1126.4,4208.64,1.0,0,402.0,402.0,1n-1m-18th-Dc-sp-mz,sequana_cpu_dev,1,11463283.0,1,18,D,sp-mz,32,32,500,1632,1216,34,80816.92,22975.52,103792.44,148.29,42.16,190.44,190.44,545.0, sdumont6275,56774464.68
9635.0,9828,546,13136588.0,11952820.0,11952820.0,13136588.0,4218.88,4208.64,4218.88,4208.64,1.0,0,406.0,406.0,1n-1m-18th-Dc-sp-mz,sequana_cpu_dev,1,11463292.0,1,18,D,sp-mz,32,32,500,1632,1216,34,77436.27,21218.87,98655.14,142.08,38.93,181.02,181.02,545.0, sdumont6055,53865706.44
9681.0,9792,544,13136588.0,11952884.0,11952884.0,13136588.0,4218.88,4208.64,4218.88,4208.64,1.0,0,23.0,23.0,1n-1m-18th-Dc-sp-mz,sequana_cpu_dev,1,11463298.0,1,18,D,sp-mz,32,32,500,1632,1216,34,73543.11,20061.95,93605.06,135.69,37.01,172.7,172.7,542.0, sdumont6055,50921152.64
10158.0,10440,522,13140696.0,11952484.0,11952484.0,13140696.0,4034.56,4208.64,4034.56,4208.64,1.0,0,28.0,28.0,1n-1m-20th-Dc-sp-mz,sequana_cpu_dev,1,11463301.0,1,20,D,sp-mz,32,32,500,1632,1216,34,73991.79,20084.06,94075.85,143.39,38.92,182.32,182.32,516.0, sdumont6055,49107593.7
10158.0,10360,518,13140696.0,11952720.0,11952720.0,13140696.0,4034.56,4208.64,4034.56,4208.64,0.0,0,26.0,26.0,1n-1m-20th-Dc-sp-mz,sequana_cpu_dev,1,11463307.0,1,20,D,sp-mz,32,32,500,1632,1216,34,73854.87,20104.05,93958.92,142.85,38.89,181.74,181.74,517.0, sdumont6055,48670720.56
10157.0,10400,520,13140696.0,11954296.0,11954296.0,13140696.0,4034.56,4208.64,4034.56,4208.64,1.0,0,28.0,28.0,1n-1m-20th-Dc-sp-mz,sequana_cpu_dev,1,11463315.0,1,20,D,sp-mz,32,32,500,1632,1216,34,73946.52,20111.14,94057.66,143.31,38.98,182.28,182.28,516.0, sdumont6055,48909983.2
10158.0,10380,519,13140696.0,11952208.0,11952208.0,13140696.0,4034.56,4208.64,4034.56,4208.64,1.0,0,26.0,26.0,1n-1m-20th-Dc-sp-mz,sequana_cpu_dev,1,11463323.0,1,20,D,sp-mz,32,32,500,1632,1216,34,73828.07,20085.02,93913.09,142.8,38.85,181.65,181.65,517.0, sdumont6055,48740893.71
10107.0,10360,518,13123716.0,11951812.0,11951812.0,13123716.0,1116.16,4208.64,1116.16,4208.64,1.0,0,405.0,405.0,1n-1m-20th-Dc-sp-mz,sequana_cpu_dev,1,11463327.0,1,20,D,sp-mz,32,32,500,1632,1216,34,73568.56,21047.9,94616.46,142.85,40.87,183.72,183.72,515.0, sdumont6165,49011326.28
10460.0,11176,508,13144908.0,11952368.0,11952368.0,13144908.0,3860.48,4208.64,3860.48,4208.64,0.0,0,420.0,420.0,1n-1m-22th-Dc-sp-mz,sequana_cpu_dev,1,11463329.0,1,22,D,sp-mz,32,32,500,1632,1216,34,71916.86,18857.32,90774.18,141.85,37.19,179.04,179.04,507.0, sdumont6054,46113283.44
10512.0,11132,506,13144908.0,11952344.0,11952344.0,13144908.0,3860.48,4208.64,3860.48,4208.64,1.0,0,38.0,38.0,1n-1m-22th-Dc-sp-mz,sequana_cpu_dev,1,11463331.0,1,22,D,sp-mz,32,32,500,1632,1216,34,72173.31,18752.13,90925.44,143.2,37.21,180.41,180.41,504.0, sdumont6054,46008272.64
11103.0,11418,519,13127928.0,11952416.0,11952416.0,13127928.0,1116.16,4208.64,1116.16,4208.64,1.0,0,403.0,403.0,1n-1m-22th-Dc-sp-mz,sequana_cpu_dev,1,11463341.0,1,22,D,sp-mz,32,32,500,1632,1216,34,67029.18,18476.81,85505.99,129.65,35.74,165.39,165.39,517.0, sdumont6220,44377608.81
11172.0,11286,513,13127928.0,11951816.0,11951816.0,13127928.0,1116.16,4208.64,1116.16,4208.64,0.0,0,34.0,34.0,1n-1m-22th-Dc-sp-mz,sequana_cpu_dev,1,11463355.0,1,22,D,sp-mz,32,32,500,1632,1216,34,63536.56,17383.38,80919.94,124.34,34.02,158.36,158.36,511.0, sdumont6220,41511929.22
11113.0,11286,513,13127832.0,11952180.0,11952180.0,13127832.0,1116.16,4208.64,1116.16,4208.64,1.0,0,405.0,405.0,1n-1m-22th-Dc-sp-mz,sequana_cpu_dev,1,11463364.0,1,22,D,sp-mz,32,32,500,1632,1216,34,70277.77,18084.28,88362.05,137.26,35.32,172.58,172.58,512.0, sdumont6196,45329731.65
10748.0,11496,479,13131944.0,11952420.0,11952420.0,13131944.0,1075.2,4208.64,1075.2,4208.64,0.0,0,23.0,23.0,1n-1m-24th-Dc-sp-mz,sequana_cpu_dev,1,11463369.0,1,24,D,sp-mz,32,32,500,1632,1216,34,67662.52,16565.09,84227.6,141.85,34.73,176.58,176.58,477.0, sdumont6196,40345020.400000006
